NAME,Population,state,county,Year
"Adams County, Indiana",33625,18,001,2000
"Allen County, Indiana",331849,18,003,2000
"Bartholomew County, Indiana",71435,18,005,2000
"Benton County, Indiana",9421,18,007,2000
"Blackford County, Indiana",14048,18,009,2000
"Boone County, Indiana",46107,18,011,2000
"Brown County, Indiana",14957,18,013,2000
"Carroll County, Indiana",20165,18,015,2000
"Cass County, Indiana",40930,18,017,2000
"Clark County, Indiana",96472,18,019,2000
"Clay County, Indiana",26556,18,021,2000
"Clinton County, Indiana",33866,18,023,2000
"Crawford County, Indiana",10743,18,025,2000
"Daviess County, Indiana",29820,18,027,2000
"Dearborn County, Indiana",46109,18,029,2000
"Decatur County, Indiana",24555,18,031,2000
"DeKalb County, Indiana",40285,18,033,2000
"Delaware County, Indiana",118769,18,035,2000
"Dubois County, Indiana",39674,18,037,2000
"Elkhart County, Indiana",182791,18,039,2000
"Fayette County, Indiana",25588,18,041,2000
"Floyd County, Indiana",70823,18,043,2000
"Fountain County, Indiana",17954,18,045,2000
"Franklin County, Indiana",22151,18,047,2000
"Fulton County, Indiana",20511,18,049,2000
"Gibson County, Indiana",32500,18,051,2000
"Grant County, Indiana",73403,18,053,2000
"Greene County, Indiana",33157,18,055,2000
"Hamilton County, Indiana",182740,18,057,2000
"Hancock County, Indiana",55391,18,059,2000
"Harrison County, Indiana",34325,18,061,2000
"Hendricks County, Indiana",104093,18,063,2000
"Henry County, Indiana",48508,18,065,2000
"Howard County, Indiana",84964,18,067,2000
"Huntington County, Indiana",38075,18,069,2000
"Jackson County, Indiana",41335,18,071,2000
"Jasper County, Indiana",30043,18,073,2000
"Jay County, Indiana",21806,18,075,2000
"Jefferson County, Indiana",31705,18,077,2000
"Jennings County, Indiana",27554,18,079,2000
"Johnson County, Indiana",115209,18,081,2000
"Knox County, Indiana",39256,18,083,2000
"Kosciusko County, Indiana",74057,18,085,2000
"LaGrange County, Indiana",34909,18,087,2000
"Lake County, Indiana",484564,18,089,2000
"LaPorte County, Indiana",110106,18,091,2000
"Lawrence County, Indiana",45922,18,093,2000
"Madison County, Indiana",133358,18,095,2000
"Marion County, Indiana",860454,18,097,2000
"Marshall County, Indiana",45128,18,099,2000
"Martin County, Indiana",10369,18,101,2000
"Miami County, Indiana",36082,18,103,2000
"Monroe County, Indiana",120563,18,105,2000
"Montgomery County, Indiana",37629,18,107,2000
"Morgan County, Indiana",66689,18,109,2000
"Newton County, Indiana",14566,18,111,2000
"Noble County, Indiana",46275,18,113,2000
"Ohio County, Indiana",5623,18,115,2000
"Orange County, Indiana",19306,18,117,2000
"Owen County, Indiana",21786,18,119,2000
"Parke County, Indiana",17241,18,121,2000
"Perry County, Indiana",18899,18,123,2000
"Pike County, Indiana",12837,18,125,2000
"Porter County, Indiana",146798,18,127,2000
"Posey County, Indiana",27061,18,129,2000
"Pulaski County, Indiana",13755,18,131,2000
"Putnam County, Indiana",36019,18,133,2000
"Randolph County, Indiana",27401,18,135,2000
"Ripley County, Indiana",26523,18,137,2000
"Rush County, Indiana",18261,18,139,2000
"St. Joseph County, Indiana",265559,18,141,2000
"Scott County, Indiana",22960,18,143,2000
"Shelby County, Indiana",43445,18,145,2000
"Spencer County, Indiana",20391,18,147,2000
"Starke County, Indiana",23556,18,149,2000
"Steuben County, Indiana",33214,18,151,2000
"Sullivan County, Indiana",21751,18,153,2000
"Switzerland County, Indiana",9065,18,155,2000
"Tippecanoe County, Indiana",148955,18,157,2000
"Tipton County, Indiana",16577,18,159,2000
"Union County, Indiana",7349,18,161,2000
"Vanderburgh County, Indiana",171922,18,163,2000
"Vermillion County, Indiana",16788,18,165,2000
"Vigo County, Indiana",105848,18,167,2000
"Wabash County, Indiana",34960,18,169,2000
"Warren County, Indiana",8419,18,171,2000
"Warrick County, Indiana",52383,18,173,2000
"Washington County, Indiana",27223,18,175,2000
"Wayne County, Indiana",71097,18,177,2000
"Wells County, Indiana",27600,18,179,2000
"White County, Indiana",25267,18,181,2000
"Whitley County, Indiana",30707,18,183,2000
